uid,nome_canonico,__prio,grupo,subgrupo,subgrupo_n3,preparo_detectado,chave_strict,chave_loose,ac_pantotenico_b5_mg_100g,acucares_totais_g_100g,amido_g_100g,beta_caroteno_ug_100g,calcio_mg_100g,carboidratos_g_100g,cinzas_g_100g,cloreto_mg_100g,cobalamina_b12_ug_100g,cobre_mg_100g,colesterol_mg_100g,energia_kcal_100g,energia_kj_100g,ferro_mg_100g,fibra_alimentar_g_100g,folato_b9_ug_100g,fosforo_mg_100g,iodo_ug_100g,lipidios_g_100g,magnesio_mg_100g,manganes_mg_100g,niacina_b3_mg_100g,piridoxina_b6_mg_100g,potassio_mg_100g,proteina_g_100g,retinol_ug_100g,riboflavina_b2_mg_100g,selenio_ug_100g,sodio_mg_100g,tiamina_b1_mg_100g,umidade_g_100g,vitamina_c_mg_100g,vitamina_d_ug_100g,vitamina_e_mg_100g,vitamina_k1_ug_100g,vitamina_k2_ug_100g,zinco_mg_100g,__fonte,nome_original,similar_group_id
1b67c23e-544d-5735-8f5b-2ac1e65e0da4,384,1,,,,,384,384,,,,,13.0,0.0,4.7,,,0.03,100.0,313.0,1309.0,1.9,,,82.0,,21.9,12.0,0.02,2.32,1e-05,86.0,26.9,1e-05,0.06,,1943.0,1e-05,47.2,,,,,,7.7,TBCA,384,b741f2520f68
1b7960a8-b574-5497-9bcd-e0bb7001cfbd,531,1,,,,,531,531,,,,,43.0,3.2,0.9,,,0.07,117.0,101.0,422.0,1.4,0.4,,244.0,,6.0,15.0,0.11,0.31,1e-05,139.0,7.9,1e-05,1e-05,,85.0,1e-05,82.0,4.1,,,,,0.5,TBCA,531,9d94ce174298
1b89f2a4-3f8e-536e-9a03-e064da70a080,"Feijão, roxo, cozido",2,Leguminosas e derivados,,,cozido,feijao roxo cozido,feijao roxo,,,,,23,"12,9","0,8",,,"0,22",,77,322,"1,4","11,5",,106,,"0,5",34,"0,32",Tr,"0,03",268,"5,7",,Tr,,1,"0,15","80,0","0,22",,,,,"1,0",TACO,"Feijão, roxo, cozido",4ec51ece458c
1ba09261-b492-5f22-adb1-833d4847efdc,"Vaca, bife grelhado (valor médio de acém, alcatra e lombo)",3,,,,grelhado,vaca bife grelhado valor medio de acem alcatra e lombo,vaca bife valor medio de acem alcatra e lombo,,0.0,0.0,0.0,11.0,,,,2.0,,81.0,163,686,1.7,0.0,18.0,180.0,2.0,,27.0,,5.4,0.52,390.0,26.4,,0.18,,190.0,0.1,65.4,0.0,0.6,,,,4.6,INSA,"Vaca, bife grelhado (valor médio de acém, alcatra e lombo)",33f00900ed74
1ba0d007-e8f8-56fd-9652-ef59bef9a02a,"Iogurte líquido meio gordo, natural, açucarado",3,,,,,iogurte liquido meio gordo natural acucarado,iogurte liquido meio gordo natural acucarado,,11.2,0.0,19.0,100.0,,,,0.0,,3.0,70,295,0.2,0.0,1.1,85.0,18.0,,8.0,,0.2,0.05,160.0,3.1,,0.25,,46.0,0.02,83.6,0.0,0.0,,,,0.4,INSA,"Iogurte líquido meio gordo, natural, açucarado",95e91a32416c
1bacf5b0-87fc-5264-99fc-001aba3bba19,513,1,,,,,513,513,,,,,,43.9,48.5,,,,,90.0,375.0,,,,,,0.1,,,,,,0.5,,,,10052.0,,7.1,,,,,,,TBCA,513,10d293a95915
1bafab69-1ab7-5ee9-8835-9e81915532ff,Gelatina preparada com ananás em conserva,3,,,,,gelatina preparada com ananas em conserva,gelatina preparada com ananas em conserva,,21.6,0.0,4.0,9.5,,,,0.0,,0.0,97,410,0.1,0.4,0.4,,,,5.0,,0.08,0.03,46.0,2.2,,0.01,,2.6,0.01,75.4,2.9,0.0,,,,0.1,INSA,Gelatina preparada com ananás em conserva,24a5b4075d7b
1bbadd6c-3be0-5ea6-b7af-df311ab88356,58,1,,,,,58,58,,,,,126.0,48.1,2.9,,,0.1,15.0,422.0,1766.0,1.3,0.9,,124.0,,22.7,15.0,0.2,1e-05,1e-05,124.0,8.7,18.0,0.04,,821.0,0.09,17.5,1e-05,,,,,0.8,TBCA,58,667be543b022
1bc9ccae-24a8-5d20-9108-1f6a117b5483,"Lieu noir, cuit",4,,poissons cuits,-,,lieu noir cuit,lieu noir cuit,0.14,0.0,,,37.5,,1.01,0.2,2.1,0.064,105.0,,,0.4,0.0,15.2,152.0,12.0,0.81,36.0,0.011,0.8,0.081,224.0,23.1,8.0,0.08,23.8,102.0,0.058,75.5,,,1.7,,,0.63,CIQUAL,"Lieu noir, cuit",b65699b7f6ef
1bcd1edb-da72-5181-bd6b-2fab4992c4f0,341,1,,,,,341,341,,,,,3.0,0.0,1.0,,,0.04,52.0,202.0,847.0,1.6,,,164.0,,13.1,14.0,1e-05,2.68,1e-05,245.0,19.8,3.0,0.08,,39.0,0.14,66.4,,,,,,4.4,TBCA,341,8da4dabfaeb4
