Painel de vendas
Última atualização,September 07 2024 3:1:40 PM BRT

Filtrar seleção
Data,Custom
Detalhamento das vendas,Total do site da Amazon
Gestão de logística,Ambos (Amazon e vendedor)

Panorama de vendas
Total de itens do pedido,Unidades pedidas,Vendas de produtos pedidos,Média de unidades/item do pedido,Média de vendas/item do pedido
37,43,"R$ 2.439,80",1.16,65.94
Comparar vendas - Exibição em gráfico
Horário,Período selecionado (Vendas de produtos pedidos),Período selecionado (Unidades pedidas),Mesmo período um ano atrás (Vendas de produtos pedidos),Mesmo período um ano atrás (Unidades pedidas)
2024-09-04T20:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T21:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T22:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-04T23:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T01:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T02:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T03:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T04:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T05:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T06:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T07:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-05T08:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T09:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T10:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T11:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T12:00:00,"R$ 119,80",2.0,"R$ 0,00",0.0
2024-09-05T13:00:00,"R$ 119,80",2.0,"R$ 0,00",0.0
2024-09-05T14:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-05T15:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T16:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-05T17:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T18:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-05T19:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T20:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-05T21:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T22:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T23:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T01:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T02:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T03:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T04:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T05:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T06:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T07:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T08:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T09:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-06T10:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-06T11:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T12:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-06T13:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T14:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T15:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T16:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T17:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T18:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T19:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T20:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-06T21:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-06T22:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-06T23:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T01:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T02:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T03:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T04:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T05:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-07T06:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
