uid,__fonte,nome_original,nome_canonico,chave_strict,chave_loose,preparo_detectado,grupo,subgrupo,subgrupo_n3
f6821aa1-af85-5317-8d5b-c00aca4ade08,CIQUAL,"Sauce aux champignons et à la crème, préemballée","Sauce aux champignons et à la crème, préemballée",sauce aux champignons et a la creme preemballee,sauce aux champignons et a la creme preemballee,,,sauces,sauces chaudes
f686c871-ffbc-531f-a267-23a67812dd87,CIQUAL,"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)","Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",printaniere de legumes surgelee crue haricots verts carottes pomme de terre petits pois oignons,printaniere de legumes surgelee crue haricots verts carottes pomme de terre petits pois oignons,,,légumes,légumes crus
f699ee7f-cea0-526c-8df0-a523e1dfe846,CIQUAL,"Haricot mungo germé ou pousse de ""soja"", cru","Haricot mungo germé ou pousse de ""soja"", cru",haricot mungo germe ou pousse de soja cru,haricot mungo germe ou pousse de soja,cru,,légumes,légumes crus
f69d1c14-f3a8-5dd2-91e3-52b10812fe16,CIQUAL,"Sandwich baguette, camembert, beurre","Sandwich baguette, camembert, beurre",sandwich baguette camembert beurre,sandwich baguette camembert beurre,,,sandwichs,-
f6a41d5e-be38-5599-813f-a7a559f33caf,TACO,"Carne, bovina, peito, sem gordura, cozido","Carne, bovina, peito, sem gordura, cozido",carne bovina peito sem gordura cozido,carne bovina peito sem gordura,cozido,Carnes e derivados,,
f6ae18d1-d6e0-5a97-9130-19a1f9a2b510,CIQUAL,Cidre (aliment moyen),Cidre (aliment moyen),cidre aliment moyen,cidre aliment moyen,,,boisson alcoolisées,bières et cidres
f6b9b3f4-0c01-5763-beab-573fda4f6ce5,TACO,"Manjericão, cru","Manjericão, cru",manjericao cru,manjericao,cru,"Verduras, hortaliças e derivados",,
f6bb9b46-259e-59cb-8e53-9ff5114275c6,CIQUAL,"Poulet, cuisse, viande et peau, cru, label rouge","Poulet, cuisse, viande et peau, cru, label rouge",poulet cuisse viande et peau cru label rouge,poulet cuisse viande et peau label rouge,cru,,viandes crues,poulet
f6c57fe5-12ba-5f4e-b10d-3169abc3afbf,CIQUAL,"Gnocchi à la semoule, cuit","Gnocchi à la semoule, cuit",gnocchi a la semoule cuit,gnocchi a la semoule cuit,,,"pâtes, riz et céréales","pâtes, riz et céréales cuits"
f6ce8072-a592-5afa-9348-2a1150699315,CIQUAL,"Sole, bouillie/cuite à l'eau","Sole, bouillie/cuite à l'eau",sole bouillie/cuite a l eau,sole bouillie/cuite a l eau,,,poissons cuits,-
f6e53073-a12c-5f68-8363-43a60866bdc2,INSA,Espargos crus,Espargos crus,espargos crus,espargos crus,,,,
f6eee7d3-b703-5ef8-b827-6109f56860bb,CIQUAL,"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais","Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",liegeois ou viennois chocolat cafe caramel ou vanille rayon frais,liegeois ou viennois chocolat cafe caramel ou vanille rayon frais,,,produits laitiers frais et assimilés,desserts lactés
f70cb7fe-2327-55b6-8cc4-b55199dad90f,CIQUAL,"Chewing-gum, sans sucre","Chewing-gum, sans sucre",chewing-gum sans sucre,chewing-gum sans sucre,,,confiseries non chocolatées,-
f7116ad5-8ef0-57aa-a3e3-0a184c63267b,CIQUAL,"Jus de citron vert, maison","Jus de citron vert, maison",jus de citron vert maison,jus de citron vert maison,,,boissons sans alcool,jus
f7270954-1706-5c54-9bf1-bc3373b6457b,CIQUAL,"Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG","Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG",yaourt lait fermente ou specialite laitiere aux cereales 0% mg,yaourt lait fermente ou specialite laitiere aux cereales 0% mg,,,produits laitiers frais et assimilés,yaourts et spécialités laitières type yaourt
f72b5cbc-23b4-5cc2-a1d9-400862fa22d5,CIQUAL,"Sauce au chocolat, préemballée","Sauce au chocolat, préemballée",sauce au chocolat preemballee,sauce au chocolat preemballee,,,sauces,sauces sucrées
f72c62a9-fb0f-5ce5-878e-8352dcdafa14,TACO,"Alface, americana, crua","Alface, americana, crua",alface americana crua,alface americana,crua,"Verduras, hortaliças e derivados",,
f75e6f0a-fc15-5d57-905e-680a912243cf,INSA,"Frango, pele crua","Frango, pele crua",frango pele crua,frango pele,crua,,,
f761e4da-0c7b-5381-9370-75181818d6e8,CIQUAL,"Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais","Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais",mousse liegeoise chocolat cafe caramel ou vanille rayon frais,mousse liegeoise chocolat cafe caramel ou vanille rayon frais,,,produits laitiers frais et assimilés,desserts lactés
f76d7d2b-953a-5b36-942e-95f92c65c56b,INSA,Feijão-verde fresco cozido,Feijão-verde fresco cozido,feijao-verde fresco cozido,feijao-verde fresco,cozido,,,
f782ce6c-d262-55f7-a5f0-8bb4f1254945,CIQUAL,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D","Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",yaourt lait fermente ou specialite laitiere aux fruits sucre enrichi en vitamine d,yaourt lait fermente ou specialite laitiere aux fruits sucre enrichi en vitamine d,,,produits laitiers frais et assimilés,yaourts et spécialités laitières type yaourt
